"[1.03046402 2.1578671  2.78746902 1.05097953 2.20290165 2.69097416
 1.01268304 2.15242565 2.95396344 0.9872574  1.88640883 2.70388322
 0.98263283 2.21087637 3.11733804 1.01199841 2.20672005 2.7573253
 0.9913     2.20795193 2.91773    0.95057291 2.04868253 2.98950443
 0.99987519 1.86535644 2.86326482 0.97801851 1.967902   2.52166141
 1.03565328 2.02946424 2.84245591 1.15684551 2.06909058 2.61747331
 1.04506947 2.08179308 2.59171492 0.96322307 2.42907461 2.41097204
 1.04180853 1.79993821 2.42504212 1.05167099 1.89289639 2.61568327
 0.86167296 2.50439439 2.3639892  0.97842071 2.23746752 3.03346939
 0.91750241 2.18381355 2.61348336 0.9804298  2.15790536 2.79505298
 1.19109539 2.17142462 2.92262883 1.18082442 1.89737462 3.05145006
 1.08299007 1.98345212 2.9889931  1.0263174  2.04544834 2.74914246
 0.98722901 2.0854873  2.62375509]"
